iter	Accuracy	MultiClass
86	0.5414028868	1.572921064
87	0.5415295011	1.572536529
88	0.5410230438	1.572105659
89	0.5422891871	1.571668193
90	0.5411496581	1.571266882
91	0.5415295011	1.570876762
92	0.5417827298	1.570488743
93	0.5417827298	1.570091916
94	0.5420359585	1.569705298
95	0.5422891871	1.569312489
96	0.5419093441	1.568871906
97	0.5425424158	1.568431581
98	0.5427956445	1.568020107
99	0.5419093441	1.567659195
100	0.5420359585	1.567256276
101	0.5417827298	1.566841622
102	0.5430488731	1.566432767
103	0.5425424158	1.566029106
104	0.5435553305	1.565598411
105	0.5431754875	1.565196261
106	0.5429222588	1.564802133
107	0.5431754875	1.564386147
108	0.5426690301	1.563979476
109	0.5434287161	1.563562258
110	0.5435553305	1.563138615
111	0.5434287161	1.562726561
112	0.5438085591	1.562305343
113	0.5443150165	1.561884651
114	0.5438085591	1.561464169
115	0.5436819448	1.561056786
116	0.5436819448	1.560651458
117	0.5443150165	1.560276677
118	0.5450747025	1.559840917
119	0.5449480881	1.559468184
120	0.5449480881	1.559075523
121	0.5453279311	1.558663853
122	0.5458343885	1.558272866
123	0.5452013168	1.557862363
124	0.5452013168	1.557468439
125	0.5455811598	1.5570645
126	0.5449480881	1.556665737
127	0.5457077741	1.556273688
128	0.5454545455	1.555912619
129	0.5450747025	1.555486725
130	0.5453279311	1.555105661
131	0.5452013168	1.55472216
132	0.5457077741	1.554325952
133	0.5453279311	1.553939991
134	0.5449480881	1.553556024
135	0.5457077741	1.553139765
136	0.5458343885	1.552766263
137	0.5453279311	1.552361526
138	0.5457077741	1.552001064
139	0.5449480881	1.551629566
140	0.5448214738	1.551237925
141	0.5450747025	1.550827129
142	0.5462142315	1.550448346
143	0.5455811598	1.550061672
144	0.5464674601	1.549690697
145	0.5458343885	1.549351935
146	0.5458343885	1.548966707
147	0.5458343885	1.548591225
148	0.5462142315	1.548202902
149	0.5462142315	1.547809618
150	0.5457077741	1.547403291
151	0.5462142315	1.547021036
152	0.5465940744	1.546609325
153	0.5465940744	1.546209784
154	0.5455811598	1.545834977
155	0.5458343885	1.545456617
156	0.5459610028	1.545096264
157	0.5460876171	1.544713539
158	0.5462142315	1.544320069
159	0.5458343885	1.543938726
160	0.5459610028	1.543579027
161	0.5462142315	1.543195976
162	0.5457077741	1.542816811
163	0.5449480881	1.542451441
164	0.5443150165	1.542039167
165	0.5448214738	1.541658788
166	0.5449480881	1.541293786
167	0.5458343885	1.540933023
168	0.5454545455	1.540545285
169	0.5460876171	1.540186275
170	0.5459610028	1.539832445
171	0.5458343885	1.539460637
172	0.5465940744	1.539067537
173	0.5465940744	1.538696881
174	0.5467206888	1.538324621
175	0.5463408458	1.537937288
176	0.5467206888	1.537589358
177	0.5465940744	1.537230426
178	0.5464674601	1.536884798
179	0.5467206888	1.536482818
180	0.5468473031	1.536103188
181	0.5468473031	1.535762596
182	0.5473537604	1.535375371
183	0.5469739174	1.535011799
184	0.5471005318	1.534679193
185	0.5468473031	1.534299841
186	0.5471005318	1.53394256
187	0.5473537604	1.533578485
188	0.5464674601	1.533197953
189	0.5462142315	1.53284784
190	0.5463408458	1.532476477
191	0.5460876171	1.532105058
192	0.5458343885	1.531717645
193	0.5459610028	1.531345704
194	0.5459610028	1.530990374
195	0.5455811598	1.530616476
196	0.5457077741	1.530288085
197	0.5455811598	1.529915326
198	0.5457077741	1.529533357
199	0.5455811598	1.529177287
200	0.5458343885	1.528799254
201	0.5458343885	1.528429112
202	0.5457077741	1.528061214
203	0.5459610028	1.527700087
204	0.5460876171	1.527326759
205	0.5465940744	1.526991219
206	0.5458343885	1.526630971
207	0.5465940744	1.526270501
208	0.5467206888	1.525927537
209	0.5467206888	1.525569732
210	0.5462142315	1.525194947
211	0.5464674601	1.524815375
212	0.5472271461	1.524465524
213	0.5469739174	1.524118395
214	0.5471005318	1.523731695
215	0.5472271461	1.523385183
216	0.5473537604	1.52304339
217	0.5467206888	1.522663878
218	0.5468473031	1.522314207
219	0.5469739174	1.521940121
220	0.5472271461	1.521572793
221	0.5468473031	1.521188845
222	0.5468473031	1.520819854
223	0.5464674601	1.520427042
224	0.5473537604	1.520046976
225	0.5471005318	1.51968486
226	0.5472271461	1.519308262
227	0.5472271461	1.518974454
228	0.5467206888	1.518590068
229	0.5471005318	1.51822588
230	0.5474803748	1.517894519
231	0.5474803748	1.51755696
232	0.5465940744	1.51722018
233	0.5469739174	1.516870801
234	0.5468473031	1.516520447
235	0.5471005318	1.51617517
236	0.5473537604	1.515817168
237	0.5469739174	1.51544954
238	0.5471005318	1.515117557
239	0.5471005318	1.514777973
240	0.5472271461	1.514456135
241	0.5473537604	1.514095746
242	0.5471005318	1.513744625
243	0.5476069891	1.513410613
244	0.5469739174	1.513050061
245	0.5476069891	1.512702919
246	0.5473537604	1.512330238
247	0.5473537604	1.511973653
248	0.5469739174	1.511629054
249	0.5467206888	1.511299667
250	0.5467206888	1.510956515
251	0.5469739174	1.510614938
252	0.5469739174	1.510269167
253	0.5473537604	1.509909061
254	0.5468473031	1.509552203
255	0.5471005318	1.509236893
256	0.5476069891	1.508908509
257	0.5472271461	1.508573697
258	0.5469739174	1.508237129
259	0.5469739174	1.50789136
260	0.5473537604	1.507541116
261	0.5474803748	1.507198915
262	0.5478602178	1.506900813
263	0.5478602178	1.506553942
264	0.5483666751	1.506185417
265	0.5483666751	1.505874192
266	0.5481134464	1.505546433
267	0.5482400608	1.505210075
268	0.5478602178	1.504880202
269	0.5472271461	1.504561665
270	0.5474803748	1.50419362
271	0.5474803748	1.503851003
272	0.5478602178	1.503513045
273	0.5474803748	1.503204435
274	0.5476069891	1.502880235
275	0.5476069891	1.502534327
276	0.5476069891	1.502214749
277	0.5477336034	1.501885624
278	0.5474803748	1.501552775
279	0.5473537604	1.501192225
280	0.5473537604	1.500843979
281	0.5469739174	1.500517135
282	0.5469739174	1.500183867
283	0.5469739174	1.499856222
284	0.5469739174	1.499515126
285	0.5472271461	1.499176524
286	0.5469739174	1.498841158
287	0.5473537604	1.49849396
288	0.5469739174	1.498135765
289	0.5473537604	1.497786888
290	0.5478602178	1.497460983
291	0.5477336034	1.49712647
292	0.5476069891	1.496776867
293	0.5476069891	1.496424872
294	0.5473537604	1.496083986
295	0.5471005318	1.495748232
296	0.5471005318	1.495409153
297	0.5472271461	1.495091709
298	0.5473537604	1.494739698
299	0.5473537604	1.494402992
300	0.5469739174	1.494053333
301	0.5468473031	1.493717211
302	0.5474803748	1.493368491
303	0.5472271461	1.493035455
304	0.5472271461	1.492720883
305	0.5465940744	1.492385108
306	0.5472271461	1.492056271
307	0.5474803748	1.491721728
308	0.5474803748	1.491398963
309	0.5474803748	1.491071987
310	0.5471005318	1.490799573
311	0.5471005318	1.490489464
312	0.5472271461	1.490177027
313	0.5473537604	1.489816678
314	0.5474803748	1.489473727
315	0.5473537604	1.489139012
316	0.5473537604	1.488826603
317	0.5473537604	1.48849885
318	0.5474803748	1.488186973
319	0.5471005318	1.487860778
320	0.5473537604	1.487539505
321	0.5477336034	1.487221846
322	0.5474803748	1.486911981
323	0.5473537604	1.486593625
324	0.5471005318	1.486280208
325	0.5477336034	1.485947929
326	0.5477336034	1.485631485
327	0.5477336034	1.4853086
328	0.5478602178	1.484984168
329	0.5478602178	1.484662682
330	0.5479868321	1.484323577
331	0.5474803748	1.483989974
332	0.5474803748	1.483683101
333	0.5477336034	1.483362828
334	0.5478602178	1.483055564
335	0.5476069891	1.482748806
336	0.5481134464	1.482413857
337	0.5481134464	1.48209283
338	0.5482400608	1.481765515
339	0.5481134464	1.481443423
340	0.5481134464	1.481107472
341	0.5481134464	1.480769039
342	0.5479868321	1.480449413
343	0.5481134464	1.480148001
344	0.5484932894	1.479804037
345	0.5482400608	1.479500208
346	0.5482400608	1.479185151
347	0.5483666751	1.478874715
348	0.5482400608	1.478573083
349	0.5483666751	1.478242889
350	0.5482400608	1.477901824
351	0.5484932894	1.477585926
352	0.5479868321	1.47729385
353	0.5479868321	1.476968775
354	0.5481134464	1.476657401
355	0.5482400608	1.47636076
356	0.5487465181	1.47601828
357	0.5486199038	1.475684437
358	0.5486199038	1.475353881
359	0.5484932894	1.47502881
360	0.5482400608	1.474679766
361	0.5483666751	1.474410588
362	0.5484932894	1.474093408
363	0.5482400608	1.473776756
364	0.5482400608	1.473475202
365	0.5482400608	1.473180907
366	0.5483666751	1.47285899
367	0.5486199038	1.472548898
368	0.5487465181	1.472249503
369	0.5486199038	1.471940057
370	0.5483666751	1.471648041
371	0.5486199038	1.471323715
372	0.5482400608	1.471011031
373	0.5484932894	1.470685825
374	0.5483666751	1.470366888
375	0.5483666751	1.470075064
376	0.5481134464	1.469781652
377	0.5482400608	1.469485257
378	0.5481134464	1.469153812
379	0.5478602178	1.468812315
380	0.5477336034	1.468500716
381	0.5478602178	1.468166649
382	0.5478602178	1.467860179
383	0.5479868321	1.467561461
384	0.5477336034	1.467245728
385	0.5478602178	1.466951929
386	0.5478602178	1.466646857
387	0.5483666751	1.466315163
388	0.5482400608	1.466020205
389	0.5484932894	1.465701204
390	0.5484932894	1.465389878
391	0.5482400608	1.465075338
392	0.5483666751	1.464777516
393	0.5483666751	1.464475824
394	0.5483666751	1.46416984
395	0.5486199038	1.463843236
396	0.5483666751	1.463559283
397	0.5484932894	1.463235151
398	0.5483666751	1.462941086
399	0.5483666751	1.462629777
400	0.5483666751	1.462300411
401	0.5486199038	1.462012324
402	0.5483666751	1.461719942
403	0.5481134464	1.461407539
404	0.5483666751	1.461105255
405	0.5484932894	1.46079753
406	0.5484932894	1.460515102
407	0.5486199038	1.460210461
408	0.5484932894	1.459901818
409	0.5487465181	1.459591538
410	0.5484932894	1.459291746
411	0.5482400608	1.459003991
412	0.5483666751	1.458741297
413	0.5484932894	1.458420709
414	0.5486199038	1.458117906
415	0.5484932894	1.45782828
416	0.5479868321	1.457519972
417	0.5483666751	1.457198867
418	0.5483666751	1.456940866
419	0.5482400608	1.456628542
420	0.5483666751	1.456365211
421	0.5486199038	1.456089049
422	0.5486199038	1.455792665
423	0.5488731324	1.455495449
424	0.5487465181	1.455185961
425	0.5488731324	1.454913084
426	0.5486199038	1.454617465
427	0.5483666751	1.454302513
428	0.5484932894	1.453992978
429	0.5486199038	1.453704087
430	0.5487465181	1.453414845
431	0.5488731324	1.453140723
432	0.5489997468	1.452820096
433	0.5489997468	1.452520255
434	0.5488731324	1.452216441
435	0.5489997468	1.451921513
436	0.5488731324	1.451633019
437	0.5489997468	1.451340837
438	0.5489997468	1.451025363
439	0.5489997468	1.450735892
440	0.5491263611	1.450447306
441	0.5487465181	1.450146486
442	0.5491263611	1.449841684
443	0.5489997468	1.44956394
444	0.5489997468	1.449261197
445	0.5488731324	1.448991924
446	0.5489997468	1.448708724
447	0.5489997468	1.448443872
448	0.5489997468	1.448146747
449	0.5488731324	1.447828017
450	0.5492529754	1.447547253
451	0.5491263611	1.44724542
452	0.5491263611	1.446991938
453	0.5492529754	1.446704957
454	0.5493795898	1.446399374
455	0.5489997468	1.446104765
456	0.5489997468	1.445836109
457	0.5491263611	1.445545463
458	0.5491263611	1.445251405
459	0.5492529754	1.444968806
460	0.5495062041	1.444692656
461	0.5493795898	1.444419644
462	0.5491263611	1.444123082
463	0.5493795898	1.443828994
464	0.5495062041	1.443544712
465	0.5493795898	1.443261383
466	0.5492529754	1.442971009
467	0.5492529754	1.442656978
468	0.5491263611	1.442370621
469	0.5492529754	1.442105111
470	0.5491263611	1.441810134
471	0.5487465181	1.441544963
472	0.5488731324	1.441235228
473	0.5495062041	1.440935914
474	0.5495062041	1.440619069
475	0.5495062041	1.440358941
476	0.5497594328	1.440093391
477	0.5496328184	1.4398118
478	0.5495062041	1.439544013
479	0.5496328184	1.43928198
480	0.5497594328	1.438973457
481	0.5491263611	1.438723814
482	0.5489997468	1.438420453
483	0.5491263611	1.438177364
484	0.5496328184	1.437907949
485	0.5498860471	1.437634929
486	0.5497594328	1.437346477
487	0.5495062041	1.437062112
488	0.5493795898	1.436772414
489	0.5497594328	1.436492265
490	0.5498860471	1.436242809
491	0.5497594328	1.435957892
492	0.5497594328	1.43567665
493	0.5497594328	1.435409513
494	0.5493795898	1.43513877
495	0.5493795898	1.434845441
496	0.5495062041	1.434593856
497	0.5493795898	1.434303386
498	0.5492529754	1.434010617
499	0.5493795898	1.433726056
500	0.5493795898	1.433457308
501	0.5495062041	1.43316438
502	0.5493795898	1.432880224
503	0.5493795898	1.432619809
504	0.5493795898	1.43236485
505	0.5496328184	1.432083925
506	0.5495062041	1.431808924
507	0.5496328184	1.431547858
508	0.5496328184	1.431248816
509	0.5497594328	1.430987712
510	0.5496328184	1.430711227
511	0.5497594328	1.430435413
512	0.5496328184	1.430174741
513	0.5500126614	1.429870566
514	0.5498860471	1.429600417
515	0.5497594328	1.429308585
516	0.5495062041	1.429031738
517	0.5497594328	1.428765976
518	0.5500126614	1.428485868
519	0.5497594328	1.428220976
520	0.5498860471	1.427955122
521	0.5501392758	1.427732252
522	0.5500126614	1.427450171
523	0.5500126614	1.427159979
524	0.5505191188	1.426878859
525	0.5502658901	1.426606029
526	0.5502658901	1.426325023
527	0.5501392758	1.426046697
528	0.5506457331	1.425775884
529	0.5503925044	1.425483669
530	0.5505191188	1.425217522
531	0.5501392758	1.424938696
532	0.5502658901	1.424686595
533	0.5501392758	1.42442796
534	0.5502658901	1.424152901
535	0.5505191188	1.423892897
536	0.5501392758	1.423619141
537	0.5500126614	1.423337793
538	0.5497594328	1.423063108
539	0.5498860471	1.422788838
540	0.5497594328	1.422527144
541	0.5501392758	1.422256311
542	0.5500126614	1.421987233
543	0.5503925044	1.42175111
544	0.5502658901	1.421465347
545	0.5505191188	1.421199715
546	0.5503925044	1.420927847
547	0.5507723474	1.420659125
548	0.5508989618	1.420402706
549	0.5510255761	1.420154047
550	0.5508989618	1.41989529
551	0.5505191188	1.41961825
552	0.5510255761	1.41935443
553	0.5510255761	1.419131504
554	0.5508989618	1.418914251
555	0.5510255761	1.418639201
556	0.5508989618	1.418369935
557	0.5510255761	1.418095049
558	0.5508989618	1.417820186
559	0.5508989618	1.417542207
560	0.5511521904	1.417279346
561	0.5510255761	1.417019068
562	0.5511521904	1.416758483
563	0.5511521904	1.416474857
564	0.5508989618	1.416199644
565	0.5510255761	1.415946319
566	0.5510255761	1.415716006
567	0.5511521904	1.415435562
568	0.5511521904	1.415189275
569	0.5510255761	1.414893619
570	0.5510255761	1.414628608
571	0.5508989618	1.414358888
572	0.5508989618	1.414081646
573	0.5506457331	1.413842124
574	0.5508989618	1.413614201
575	0.5508989618	1.413355908
576	0.5508989618	1.413095985
577	0.5510255761	1.412842332
578	0.5508989618	1.412573515
579	0.5515320334	1.412319813
580	0.5516586478	1.412101786
581	0.5516586478	1.411852101
582	0.5515320334	1.41159179
583	0.5517852621	1.411328841
584	0.5519118764	1.411079739
585	0.5514054191	1.41083235
586	0.5514054191	1.410602599
587	0.5516586478	1.41036132
588	0.5514054191	1.410096187
589	0.5514054191	1.40983073
590	0.5514054191	1.409570708
591	0.5516586478	1.409289077
592	0.5516586478	1.409056044
593	0.5516586478	1.408773259
594	0.5516586478	1.408520919
595	0.5519118764	1.408297083
596	0.5516586478	1.408068596
597	0.5516586478	1.407814419
598	0.5516586478	1.407582323
599	0.5514054191	1.407323202
600	0.5517852621	1.40706065
601	0.5517852621	1.406802393
602	0.5516586478	1.406561298
603	0.5517852621	1.406291208
604	0.5519118764	1.406030371
605	0.5519118764	1.405776162
606	0.5521651051	1.405546294
607	0.5521651051	1.405277893
608	0.5520384908	1.405037862
609	0.5517852621	1.404803346
610	0.5519118764	1.404549105
611	0.5516586478	1.404297134
612	0.5517852621	1.40406039
613	0.5520384908	1.40379928
614	0.5520384908	1.403561168
615	0.5519118764	1.403298722
616	0.5514054191	1.403034682
617	0.5516586478	1.40278446
618	0.5516586478	1.402530604
619	0.5515320334	1.40229844
620	0.5514054191	1.402031472
621	0.5514054191	1.401807701
622	0.5516586478	1.401555125
623	0.5516586478	1.401305065
624	0.5515320334	1.401062923
625	0.5511521904	1.400847485
626	0.5512788048	1.400611207
627	0.5515320334	1.40038356
628	0.5517852621	1.400111661
629	0.5519118764	1.399845817
630	0.5516586478	1.399611636
631	0.5516586478	1.399389652
632	0.5516586478	1.399143521
633	0.5519118764	1.398888151
634	0.5521651051	1.398639041
635	0.5522917194	1.398413477
636	0.5525449481	1.398155295
637	0.5522917194	1.397925017
638	0.5522917194	1.39767073
639	0.5522917194	1.39740875
640	0.5522917194	1.397141323
641	0.5521651051	1.396892545
642	0.5521651051	1.396639611
643	0.5522917194	1.396375445
644	0.5521651051	1.396133401
645	0.5524183338	1.395881717
646	0.5526715624	1.395626035
647	0.5526715624	1.39538517
648	0.5522917194	1.395136834
649	0.5520384908	1.394897637
650	0.5524183338	1.394658171
651	0.5525449481	1.394414046
652	0.5526715624	1.394183188
653	0.5529247911	1.393946523
654	0.5525449481	1.393739599
655	0.5527981768	1.393513149
656	0.5522917194	1.393255862
657	0.5525449481	1.393022486
658	0.5525449481	1.392764793
659	0.5522917194	1.392531152
