,data_id,dataname,tasktype,trial,modelname,perf,datasize,num_prep_features,feature_sample_ratio,cat_ratio,y_imbalance_full,num_classes,highfreq_ratio_quan,cor_full,avg_cardinality,FLAG_datasize,FLAG_tasktype,FLAG_featuredim,FLAG_featurecomp_1,FLAG_featurecomp_2,FLAG_imbalance,FLAG_irregularity,FLAG_corr,FLAG_card,FLAG_fsratio,FLAG_numclass,FLAG_overall,flag,max,min,norm_perf
4796,45714,PC,multiclass,1,catb,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4797,45714,PC,multiclass,1,lgbm,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4798,45714,PC,multiclass,1,mlp,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4799,45714,PC,multiclass,1,ftt,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4800,45714,PC,multiclass,1,resnet,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4801,45714,PC,multiclass,1,t2g,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4802,45714,PC,multiclass,2,catb,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4803,45714,PC,multiclass,2,lgbm,0.1643059490084986,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,0.0
4804,45714,PC,multiclass,2,ftt,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4805,45714,PC,multiclass,2,resnet,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4806,45714,PC,multiclass,2,t2g,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4807,45714,PC,multiclass,3,catb,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4808,45714,PC,multiclass,3,lgbm,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4809,45714,PC,multiclass,3,resnet,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
4810,45714,PC,multiclass,3,ftt,1.0,Large,5,0.000141643,0.2,0.985,10.0,0.695088035,0.118137826,10.0,2,1,0,,,0.0,,0.0,1.0,0.0,1.0,0,1,1.0,0.1643059490084986,1.0
