,data_id,modelname,perf,ensemble,min,max,flag,norm_perf
45,456,resnet,-205.81227224402824,1,-628832.6440381415,-167.81645130357452,-1,0.9999395610836281
46,456,ftt,-186.24536487520973,1,-628832.6440381415,-167.81645130357452,-1,0.9999706856296663
47,456,t2g,-237.19400518088565,1,-628832.6440381415,-167.81645130357452,-1,0.9998896430167031
48,8,mlp,-2.835737237085872,1,-4.8324864437406605,-2.665548676340607,-1,0.9214612605375088
49,8,resnet,-2.916509260743976,1,-4.8324864437406605,-2.665548676340607,-1,0.8841865289447245
50,8,ftt,-2.925264238991056,1,-4.8324864437406605,-2.665548676340607,-1,0.8801462752841017
51,8,t2g,-2.973616776947732,1,-4.8324864437406605,-2.665548676340607,-1,0.8578325112784604
52,42360,mlp,-0.3710070860204018,1,-0.4399864859564729,-0.3007637537807404,-1,0.49546075456271427
53,42360,resnet,-0.3587841899543044,1,-0.4399864859564729,-0.3007637537807404,-1,0.583254578711124
54,42360,ftt,-0.3273697972461405,1,-0.4399864859564729,-0.3007637537807404,-1,0.8088958387067356
55,42360,t2g,-0.3357107151053217,1,-0.4399864859564729,-0.3007637537807404,-1,0.7489852355399127
56,531,mlp,-2.768308469127477,1,-5.176869910565925,-2.162962375668127,-1,0.799149082561394
57,531,resnet,-5.176869910565925,1,-5.176869910565925,-2.162962375668127,-1,0.0
58,531,ftt,-3.579477645870296,1,-5.176869910565925,-2.162962375668127,-1,0.5300070576816142
59,531,t2g,-3.0065980515471127,1,-5.176869910565925,-2.162962375668127,-1,0.7200857471204426
60,703,mlp,-0.7957943713718454,1,-0.8274857208996473,-0.7796236689193434,-1,0.6621393821736583
61,703,resnet,-0.7912628164353211,1,-0.8274857208996473,-0.7796236689193434,-1,0.7568188777036254
62,703,ftt,-0.789669822914683,1,-0.8274857208996473,-0.7796236689193434,-1,0.7901018953497071
63,703,t2g,-0.8129918003865276,1,-0.8274857208996473,-0.7796236689193434,-1,0.3028269769771721
64,534,mlp,-4.193154915034679,1,-5.704659869446576,-3.842597106222816,-1,0.8117368459670243
65,534,resnet,-4.864031458828232,1,-5.704659869446576,-3.842597106222816,-1,0.4514500946052846
66,534,ftt,-3.963912659107257,1,-5.704659869446576,-3.842597106222816,-1,0.9348488379229446
67,534,t2g,-4.489319736799636,1,-5.704659869446576,-3.842597106222816,-1,0.6526848378315891
68,44968,mlp,-0.0043477377203916,1,-0.0263282490569596,-0.0007344958268086,-1,0.8588232893749097
69,44968,resnet,-0.0047593569421368,1,-0.0263282490569596,-0.0007344958268086,-1,0.8427404890898663
70,44968,ftt,-0.0055921279349418,1,-0.0263282490569596,-0.0007344958268086,-1,0.8102024324275107
71,44968,t2g,-0.0060669045333089,1,-0.0263282490569596,-0.0007344958268086,-1,0.7916519449668523
72,549,mlp,-352.9840869288586,1,-504.5549400214015,-300.34017488835303,-1,0.7422129981335709
73,549,resnet,-324.72333175720524,1,-504.5549400214015,-300.34017488835303,-1,0.8806004215563635
74,549,ftt,-347.2184335904417,1,-504.5549400214015,-300.34017488835303,-1,0.7704462815333314
75,549,t2g,-349.6277149519185,1,-504.5549400214015,-300.34017488835303,-1,0.758648499135437
76,43611,mlp,-0.1145727227637365,1,-0.2495763735976312,-0.1145727227637365,-1,1.0
77,43611,resnet,-0.2495763735976312,1,-0.2495763735976312,-0.1145727227637365,-1,0.0
78,43611,ftt,-0.1818385327867939,1,-0.2495763735976312,-0.1145727227637365,-1,0.501748214899613
79,43611,t2g,-0.1350480520309005,1,-0.2495763735976312,-0.1145727227637365,-1,0.8483349958264732
80,45102,mlp,-180.79886744321712,1,-181.1376597341179,-158.68256441714067,-1,0.015087546328277631
81,45102,resnet,-167.73139916433357,1,-181.1376597341179,-158.68256441714067,-1,0.5970253245662466
82,45102,ftt,-175.82598597405902,1,-181.1376597341179,-158.68256441714067,-1,0.23654648021213143
83,45102,t2g,-163.94061543932608,1,-181.1376597341179,-158.68256441714067,-1,0.7658415184632928
84,43962,mlp,-0.4807830030962868,1,-13.039365587774606,-0.3107442060601639,-1,0.9866412243763967
85,43962,resnet,-5.918685497025105,1,-13.039365587774606,-0.3107442060601639,-1,0.55942272750597
86,43962,ftt,-4.733254680965089,1,-13.039365587774606,-0.3107442060601639,-1,0.6525538514910836
87,43962,t2g,-13.039365587774606,1,-13.039365587774606,-0.3107442060601639,-1,0.0
88,4544,mlp,-0.4296992213644528,1,-0.7699965411269541,-0.386894089993515,-1,0.8882671430467348
89,4544,resnet,-0.4602714025327323,1,-0.7699965411269541,-0.386894089993515,-1,0.8084655623525125
90,4544,ftt,-0.4022207349844273,1,-0.7699965411269541,-0.386894089993515,-1,0.9599933517899267
91,4544,t2g,-0.4050692859888198,1,-0.7699965411269541,-0.386894089993515,-1,0.9525578707692106
92,41702,mlp,-765.9194637819305,1,-26933890.76626368,-684.4024994475108,-1,0.9999969733657689
93,41702,resnet,-1405.9962659978864,1,-26933890.76626368,-684.4024994475108,-1,0.9999732080259289
94,41702,ftt,-757.1152075477021,1,-26933890.76626368,-684.4024994475108,-1,0.9999973002580117
95,41702,t2g,-781.0722997904868,1,-26933890.76626368,-684.4024994475108,-1,0.9999964107578193
96,41021,mlp,-24.024655710982625,1,-28.664501137962983,-20.81863853495753,-1,0.5913747999108483
97,41021,resnet,-24.50853222564478,1,-28.664501137962983,-20.81863853495753,-1,0.5297019744809457
98,41021,ftt,-22.208237448002823,1,-28.664501137962983,-20.81863853495753,-1,0.8228876819085525
99,41021,t2g,-22.024789888416784,1,-28.664501137962983,-20.81863853495753,-1,0.8462691211292402
100,41265,mlp,-25.69754166181928,1,-37.70468714387095,-23.597276633860467,-1,0.8511232783317332
101,41265,resnet,-34.11043788426425,1,-37.70468714387095,-23.597276633860467,-1,0.25477739214126177
102,41265,ftt,-26.544391805579668,1,-37.70468714387095,-23.597276633860467,-1,0.791094533640461
103,41265,t2g,-26.576683942782086,1,-37.70468714387095,-23.597276633860467,-1,0.7888055141794122
104,43466,mlp,-0.0005692372270697,1,-0.1749387979015766,-0.0002913337971979,-1,0.9984087748923414
105,43466,resnet,-0.0020099735458879,1,-0.1749387979015766,-0.0002913337971979,-1,0.9901593775924348
106,43466,ftt,-0.0144942207425132,1,-0.1749387979015766,-0.0002913337971979,-1,0.918676821228696
